fpr,tpr,threshold
9.651518574039468076e-04,2.575600000000000112e-01,9.510062381961730260e-01
9.856870033061585802e-04,2.575600000000000112e-01,9.510061262807991689e-01
9.856870033061585802e-04,2.591399999999999815e-01,9.509630139440869989e-01
1.006222149208370028e-03,2.591399999999999815e-01,9.509619738990511273e-01
1.006222149208370028e-03,2.639400000000000079e-01,9.508355647670466704e-01
1.026757295110581692e-03,2.639400000000000079e-01,9.508354885509642251e-01
1.026757295110581692e-03,2.642599999999999949e-01,9.508258138797545111e-01
1.047292441012793356e-03,2.642599999999999949e-01,9.508253501063889113e-01
1.047292441012793356e-03,2.654599999999999738e-01,9.507802347965170764e-01
1.067827586915005020e-03,2.654599999999999738e-01,9.507795368502413025e-01
1.067827586915005020e-03,2.736399999999999944e-01,9.505042573859415755e-01
1.088362732817216684e-03,2.736399999999999944e-01,9.505039361764020533e-01
1.088362732817216684e-03,2.748200000000000087e-01,9.504618833532266775e-01
1.108897878719428349e-03,2.748200000000000087e-01,9.504614926752585902e-01
1.108897878719428349e-03,2.764599999999999835e-01,9.503860536171643281e-01
1.129433024621640013e-03,2.764599999999999835e-01,9.503856730817510368e-01
1.129433024621640013e-03,2.776600000000000179e-01,9.503426112081182486e-01
1.149968170523851677e-03,2.776600000000000179e-01,9.503422393158083015e-01
1.149968170523851677e-03,2.795199999999999907e-01,9.502659119222883755e-01
1.170503316426063124e-03,2.795199999999999907e-01,9.502647264025240181e-01
1.170503316426063124e-03,2.798399999999999777e-01,9.502519133949692831e-01
1.191038462328274788e-03,2.798399999999999777e-01,9.502516666691430691e-01
1.191038462328274788e-03,2.808200000000000141e-01,9.502095261531815495e-01
1.211573608230486453e-03,2.808200000000000141e-01,9.502093199366673515e-01
1.211573608230486453e-03,2.810400000000000120e-01,9.502009451603939949e-01
1.252643900034909781e-03,2.810400000000000120e-01,9.501983566905819467e-01
1.252643900034909781e-03,2.844200000000000061e-01,9.500440802600251811e-01
1.273179045937121445e-03,2.844200000000000061e-01,9.500436754132871586e-01
1.273179045937121445e-03,2.859200000000000075e-01,9.499784335550782721e-01
1.293714191839333109e-03,2.859200000000000075e-01,9.499776091128324662e-01
1.293714191839333109e-03,2.883399999999999852e-01,9.498749267913370042e-01
1.314249337741544557e-03,2.883399999999999852e-01,9.498717352413925674e-01
1.314249337741544557e-03,2.959200000000000164e-01,9.494126281715588034e-01
1.334784483643756221e-03,2.959200000000000164e-01,9.494122714374014782e-01
1.334784483643756221e-03,2.966400000000000148e-01,9.493595404232437751e-01
1.355319629545967885e-03,2.966400000000000148e-01,9.493590940722453908e-01
1.355319629545967885e-03,3.029200000000000226e-01,9.488181197202629757e-01
1.375854775448179549e-03,3.029200000000000226e-01,9.488170282135038880e-01
1.375854775448179549e-03,3.039000000000000035e-01,9.487213974964098240e-01
1.396389921350391214e-03,3.039000000000000035e-01,9.487205049135899460e-01
1.396389921350391214e-03,3.059000000000000052e-01,9.485114987647377260e-01
1.416925067252602878e-03,3.059000000000000052e-01,9.485106156397201671e-01
1.416925067252602878e-03,3.060999999999999832e-01,9.484994327458320384e-01
1.437460213154814542e-03,3.060999999999999832e-01,9.484993902401326338e-01
1.437460213154814542e-03,3.072400000000000131e-01,9.483932689518208559e-01
1.457995359057026206e-03,3.072400000000000131e-01,9.483928511121980653e-01
1.457995359057026206e-03,3.073400000000000021e-01,9.483869267406552783e-01
1.478530504959237653e-03,3.073400000000000021e-01,9.483855506009651881e-01
1.478530504959237653e-03,3.081800000000000095e-01,9.482669956320133320e-01
1.499065650861449318e-03,3.081800000000000095e-01,9.482619027371785858e-01
1.499065650861449318e-03,3.097799999999999998e-01,9.480677834073072408e-01
1.519600796763660982e-03,3.097799999999999998e-01,9.480619513535148979e-01
1.519600796763660982e-03,3.110999999999999877e-01,9.478776221829856574e-01
1.540135942665872646e-03,3.110999999999999877e-01,9.478773292876361278e-01
1.540135942665872646e-03,3.111200000000000077e-01,9.478725928231632736e-01
1.560671088568084310e-03,3.111200000000000077e-01,9.478669012765481572e-01
1.560671088568084310e-03,3.115999999999999881e-01,9.477834985665992695e-01
1.581206234470295974e-03,3.115999999999999881e-01,9.477762064944306175e-01
1.581206234470295974e-03,3.128799999999999915e-01,9.474816616291791282e-01
1.601741380372507639e-03,3.128799999999999915e-01,9.474799931009205700e-01
1.601741380372507639e-03,3.149799999999999822e-01,9.469589292404202441e-01
1.622276526274719086e-03,3.149799999999999822e-01,9.469582672738691143e-01
1.622276526274719086e-03,3.153199999999999892e-01,9.468405616741404351e-01
1.642811672176930750e-03,3.153199999999999892e-01,9.468390268907761476e-01
1.642811672176930750e-03,3.153400000000000092e-01,9.468367168446257809e-01
1.663346818079142414e-03,3.153400000000000092e-01,9.468105977404366325e-01
1.663346818079142414e-03,3.163199999999999901e-01,9.464221450179151063e-01
